가게 이름,카테고리,가게 주소
아늑,이탈리아음식,경기 수원시 장안구 서부로2106번길 36-4 1층
편백회관 천천점,샤브샤브,경기 수원시 장안구 만석로19번길 11-7 8층 편백회관
몽키키친,양식,경기 수원시 장안구 서부로2106번길 26-92 1층 몽키키친
정원,중식당,경기 수원시 장안구 서부로2123번길 34-3 2층
MLMC,"카페,디저트","경기 수원시 장안구 덕영대로535번길 28 1층, 2층 엠엘엠씨"
본만두 천천본점,"칼국수,만두",경기 수원시 장안구 정자로 16
스타벅스 수원성균관대점,카페,"경기 수원시 장안구 서부로 2131 1층 4,5,6호 2층1,2호 (율전동)"
카페쓰리몽키즈,"카페,디저트",경기 수원시 권선구 율전로63번길 5-10
떠기다방 수원성균관대점,떡카페,경기 수원시 장안구 서부로2106번길 14 1층 떠기다방
홀리앤졸리 성대점,"카페,디저트",경기 수원시 장안구 화산로125번길 10 1층 102호
양바다수산,생선회,경기 수원시 장안구 덕영대로417번길 52-52 1층 양바다수산
가성면돈 정자직영점,종합분식,경기 수원시 장안구 대평로 80 126호
구시아푸드마켓 성균관대학교자과캠CNS센터,푸드코트,경기 수원시 장안구 서부로 2066 성균관대 자과캠 CNS센터
오르카커피룸,"카페,디저트",경기 수원시 장안구 화산로 235 101호
산더미 미성돼지국밥 성대점,국밥,경기 수원시 장안구 서부로2135번길 13
백소정 수원천천점,일식당,"경기 수원시 장안구 덕영대로535번길 46 1층, 105호 백소정 수원천천점"
플렁드,베이커리,경기 수원시 장안구 율전로 91 1층
맥도날드 수원 성균관대점,햄버거,경기 수원시 장안구 서부로 2127
공주댁 천천점,"육류,고기요리",경기 수원시 장안구 정자로20번길 5-20 1층
깨비막창,"곱창,막창,양",경기 수원시 팔달구 수성로157번길 57-21 1층
명륜진사갈비 수원성균관대점,"육류,고기요리",경기 수원시 장안구 서부로 2129-5 1층
목구멍 율전점,"육류,고기요리",경기 수원시 장안구 화산로233번길 46 1층
스위티메모리,케이크전문,경기 수원시 장안구 화산로233번길 12 1층
연탄길 수원성대4호점,"육류,고기요리",경기 수원시 장안구 율전로98번길 9 1층 102호
성대지붕,한식,경기 수원시 장안구 서부로2123번길 20 A동 2층 201호 성대지붕
스타벅스 수원천천점,카페,경기 수원시 장안구 덕영대로535번길 46 (천천동)
보영만두 성대직영점,분식,경기 수원시 장안구 화산로233번길 30
컴포즈커피 수원천천점,카페,"경기 수원시 장안구 만석로5번길 6 세화프라자 1층,2층"
카페쓰리몽키즈 천천점,브런치카페,경기 수원시 장안구 화산로 110
멱살 수원성대점,"육류,고기요리",경기 수원시 장안구 율전로 90-10 1층
오군포차 성대점,"해물,생선요리",경기 수원시 장안구 서부로 2136 2층
다움 베이커리,"카페,디저트",경기 수원시 장안구 천천로 100 롯데시네마타워 1층
성대목장,한식,경기 수원시 장안구 서부로2105번길 16-1 성대하이퍼
텐푸라바사바사,일식당,경기 수원시 장안구 서부로 2112 1층 텐푸라 바사바사
소코아 수원성대점,카레,경기 수원시 장안구 화산로213번길 9-3 1층
쿠모스시 본점,"초밥,롤",경기 수원시 장안구 일월로76번길 19 102호
생각나는순대국 본점,"순대,순댓국",경기 수원시 장안구 율전로 84 생각나는순대국
주꼬로 율전동본점,요리주점,경기 수원시 장안구 서부로2105번길 26-5 102호
양뜰양꼬치,양꼬치,경기 수원시 장안구 화산로233번길 54 1층
한,요리주점,경기 수원시 장안구 서부로2123번길 34-7 1층 상가
포동이네 성대점,"초밥,롤",경기 수원시 장안구 율전로98번길 6-2
육가든,"육류,고기요리",경기 수원시 장안구 화산로233번길 62 1층 육가든
오스테리아우노,이탈리아음식,경기 수원시 장안구 율전로98번길 7 102호
성대곱창,"곱창,막창,양",경기 수원시 장안구 율전로 96 1층 성대곱창
생각나는순대국성대점,"순대,순댓국",경기 수원시 장안구 서부로2126번길 38 102호
서울24시감자탕,감자탕,경기 수원시 장안구 서부로 2163
보리네주먹고기,돼지고기구이,경기 수원시 장안구 율전로98번길 6-9
먹심 스타필드수원점,"육류,고기요리",경기 수원시 팔달구 수성로157번길 41-13 1층
KFC 수원성균관대,햄버거,경기 수원시 장안구 서부로2126번길 10
개성집 구운점,"해물,생선요리",경기 수원시 권선구 수인로296번길 34
봉수육,"족발,보쌈",경기 수원시 장안구 율전로108번길 11 1층
