id,name,address,lat,lng,category,created_at,updated_at
0,아늑,경기 수원시 장안구 서부로2106번길 36-4 1층,37.2975633336108,126.972038923086,이탈리아음식,2026-06-20,2026-06-20
1,편백회관 천천점,경기 수원시 장안구 만석로19번길 11-7 8층 편백회관,37.2955003927986,126.983454542856,샤브샤브,2026-06-20,2026-06-20
2,몽키키친,경기 수원시 장안구 서부로2106번길 26-92 1층 몽키키친,37.2969021304708,126.973109947237,양식,2026-06-20,2026-06-20
3,정원,경기 수원시 장안구 서부로2123번길 34-3 2층,37.2985931693961,126.969294537739,중식당,2026-06-20,2026-06-20
4,MLMC,"경기 수원시 장안구 덕영대로535번길 28 1층, 2층 엠엘엠씨",37.2969978564537,126.981815674405,"카페,디저트",2026-06-20,2026-06-20
5,본만두 천천본점,경기 수원시 장안구 정자로 16,37.2999392226387,126.978702317478,"칼국수,만두",2026-06-20,2026-06-20
6,스타벅스 수원성균관대점,"경기 수원시 장안구 서부로 2131 1층 4,5,6호 2층1,2호 (율전동)",37.2989856909313,126.971578560041,카페,2026-06-20,2026-06-20
7,카페쓰리몽키즈,경기 수원시 권선구 율전로63번길 5-10,37.2962505080513,126.965496364977,"카페,디저트",2026-06-20,2026-06-20
8,떠기다방 수원성균관대점,경기 수원시 장안구 서부로2106번길 14 1층 떠기다방,37.2968441730712,126.971481694175,떡카페,2026-06-20,2026-06-20
9,홀리앤졸리 성대점,경기 수원시 장안구 화산로125번길 10 1층 102호,37.2943038652117,126.979722205684,"카페,디저트",2026-06-20,2026-06-20
10,양바다수산,경기 수원시 장안구 덕영대로417번길 52-52 1층 양바다수산,37.3034737333786,126.969332144475,생선회,2026-06-20,2026-06-20
11,가성면돈 정자직영점,경기 수원시 장안구 대평로 80 126호,37.2955519260015,126.993629573954,종합분식,2026-06-20,2026-06-20
12,구시아푸드마켓 성균관대학교자과캠CNS센터,경기 수원시 장안구 서부로 2066 성균관대 자과캠 CNS센터,37.2959770000514,126.974164012539,푸드코트,2026-06-20,2026-06-20
13,오르카커피룸,경기 수원시 장안구 화산로 235 101호,37.2997124171544,126.970635482922,"카페,디저트",2026-06-20,2026-06-20
14,산더미 미성돼지국밥 성대점,경기 수원시 장안구 서부로2135번길 13,37.2990999480117,126.971228873829,국밥,2026-06-20,2026-06-20
15,백소정 수원천천점,"경기 수원시 장안구 덕영대로535번길 46 1층, 105호 백소정 수원천천점",37.2973273120776,126.982659005,일식당,2026-06-20,2026-06-20
16,플렁드,경기 수원시 장안구 율전로 91 1층,37.2975843324775,126.968472287672,베이커리,2026-06-20,2026-06-20
17,맥도날드 수원 성균관대점,경기 수원시 장안구 서부로 2127,37.2984937243157,126.971203727609,햄버거,2026-06-20,2026-06-20
18,공주댁 천천점,경기 수원시 장안구 정자로20번길 5-20 1층,37.300064487294,126.980385215448,"육류,고기요리",2026-06-20,2026-06-20
19,깨비막창,경기 수원시 팔달구 수성로157번길 57-21 1층,37.2885116684442,126.987885657672,"곱창,막창,양",2026-06-20,2026-06-20
20,명륜진사갈비 수원성균관대점,경기 수원시 장안구 서부로 2129-5 1층,37.2989459664282,126.971251941213,"육류,고기요리",2026-06-20,2026-06-20
21,목구멍 율전점,경기 수원시 장안구 화산로233번길 46 1층,37.2977142440725,126.970140339367,"육류,고기요리",2026-06-20,2026-06-20
22,스위티메모리,경기 수원시 장안구 화산로233번길 12 1층,37.2991976415036,126.970581657459,케이크전문,2026-06-20,2026-06-20
23,연탄길 수원성대4호점,경기 수원시 장안구 율전로98번길 9 1층 102호,37.298115459703,126.969371990792,"육류,고기요리",2026-06-20,2026-06-20
24,성대지붕,경기 수원시 장안구 서부로2123번길 20 A동 2층 201호 성대지붕,37.2984883259364,126.970144432076,한식,2026-06-20,2026-06-20
25,스타벅스 수원천천점,경기 수원시 장안구 덕영대로535번길 46 (천천동),37.2973273120776,126.982659005,카페,2026-06-20,2026-06-20
26,보영만두 성대직영점,경기 수원시 장안구 화산로233번길 30,37.2984471482693,126.970502660373,분식,2026-06-20,2026-06-20
27,컴포즈커피 수원천천점,"경기 수원시 장안구 만석로5번길 6 세화프라자 1층,2층",37.2952529724236,126.982853015753,카페,2026-06-20,2026-06-20
28,카페쓰리몽키즈 천천점,경기 수원시 장안구 화산로 110,37.2935225525438,126.981798127809,브런치카페,2026-06-20,2026-06-20
29,멱살 수원성대점,경기 수원시 장안구 율전로 90-10 1층,37.2974040647915,126.968925761033,"육류,고기요리",2026-06-20,2026-06-20
30,오군포차 성대점,경기 수원시 장안구 서부로 2136 2층,37.2989041712919,126.972442883959,"해물,생선요리",2026-06-20,2026-06-20
31,다움 베이커리,경기 수원시 장안구 천천로 100 롯데시네마타워 1층,37.3006121410454,126.984003276343,"카페,디저트",2026-06-20,2026-06-20
32,성대목장,경기 수원시 장안구 서부로2105번길 16-1 성대하이퍼,37.2969935488342,126.969257517774,한식,2026-06-20,2026-06-20
33,텐푸라바사바사,경기 수원시 장안구 서부로 2112 1층 텐푸라 바사바사,37.2970488720692,126.971042093467,일식당,2026-06-20,2026-06-20
34,소코아 수원성대점,경기 수원시 장안구 화산로213번길 9-3 1층,37.2992650926669,126.973078314821,카레,2026-06-20,2026-06-20
35,쿠모스시 본점,경기 수원시 장안구 일월로76번길 19 102호,37.2900248728068,126.977911630305,"초밥,롤",2026-06-20,2026-06-20
36,생각나는순대국 본점,경기 수원시 장안구 율전로 84 생각나는순대국,37.2967989408407,126.968293626147,"순대,순댓국",2026-06-20,2026-06-20
37,주꼬로 율전동본점,경기 수원시 장안구 서부로2105번길 26-5 102호,37.2972111219845,126.968808769246,요리주점,2026-06-20,2026-06-20
38,양뜰양꼬치,경기 수원시 장안구 화산로233번길 54 1층,37.297490229516,126.970073997122,양꼬치,2026-06-20,2026-06-20
39,한,경기 수원시 장안구 서부로2123번길 34-7 1층 상가,37.2988621581587,126.969407554538,요리주점,2026-06-20,2026-06-20
40,포동이네 성대점,경기 수원시 장안구 율전로98번길 6-2,37.2979014538171,126.968989055135,"초밥,롤",2026-06-20,2026-06-20
41,육가든,경기 수원시 장안구 화산로233번길 62 1층 육가든,37.2971258943048,126.969892895661,"육류,고기요리",2026-06-20,2026-06-20
42,오스테리아우노,경기 수원시 장안구 율전로98번길 7 102호,37.2981314592746,126.969222090795,이탈리아음식,2026-06-20,2026-06-20
43,성대곱창,경기 수원시 장안구 율전로 96 1층 성대곱창,37.2979061036697,126.968853709603,"곱창,막창,양",2026-06-20,2026-06-20
44,생각나는순대국성대점,경기 수원시 장안구 서부로2126번길 38 102호,37.2976684061955,126.973660972424,"순대,순댓국",2026-06-20,2026-06-20
45,서울24시감자탕,경기 수원시 장안구 서부로 2163,37.3015258333554,126.972468320721,감자탕,2026-06-20,2026-06-20
